0,1,0
1,1,1
10,1,0
100,14,0
1000,2,0
1001,0,2
1002,0,1
1003,1,0
1004,2,0
1005,5,0
1006,0,0
1007,0,1
1008,1,0
1009,1,0
101,1,0
1010,3,0
1011,0,1
1012,0,0
1013,3,0
1014,2,0
1015,2,0
1016,1,0
1017,1,0
1018,0,1
1019,0,2
102,0,5
1020,2,2
1021,2,0
1022,1,0
1023,3,0
1024,1,0
1025,0,1
1026,3,0
1027,0,1
1028,1,0
1029,0,1
103,0,1
1030,0,1
1031,1,0
1032,1,1
1033,1,1
1034,2,0
1035,0,1
1036,0,3
1037,7,0
1038,1,0
1039,0,1
104,1,0
1040,2,0
1041,2,0
1042,2,1
1043,3,0
1044,10,0
1045,1,0
1046,0,1
1047,3,0
1048,0,0
1049,0,0
105,0,1
1050,0,1
1051,2,0
1052,2,0
1053,0,1
1054,0,1
1055,3,0
1056,2,0
1057,1,0
1058,0,1
1059,2,0
106,1,0
1060,0,1
1061,5,0
1062,1,0
1063,0,0
1064,2,0
1065,1,0
1066,0,1
1067,1,0
1068,3,0
1069,1,0
107,0,1
1070,1,1
1071,3,1
1072,2,0
1073,0,1
1074,0,1
1075,1,0
1076,1,0
1077,1,0
1078,0,1
1079,1,0
108,0,1
1080,18,0
1081,3,0
1082,1,0
1083,0,1
1084,1,0
1085,1,0
1086,2,0
1087,3,0
1088,4,0
1089,0,1
109,2,0
1090,2,0
1091,0,1
1092,1,0
1093,3,0
1094,0,2
1095,2,0
1096,1,0
1097,1,0
1098,2,0
1099,1,0
11,5,0
110,7,0
1100,0,1
1101,0,1
1102,1,0
1103,3,0
1104,0,1
1105,2,0
1106,1,1
1107,0,1
1108,1,0
1109,1,0
111,1,1
1110,0,1
1111,1,1
1112,9,0
1113,0,0
1114,0,1
1115,0,1
1116,1,0
1117,1,0
1118,0,1
1119,2,0
112,2,0
1120,3,0
1121,0,1
1122,1,2
1123,3,0
1124,8,0
1125,0,1
1126,1,0
1127,6,0
1128,0,1
1129,0,1
113,1,0
1130,2,0
1131,1,0
1132,0,1
1133,5,0
1134,1,0
1135,2,0
1136,1,0
1137,0,1
1138,0,2
1139,3,0
114,1,1
1140,1,0
1141,1,0
1142,0,1
1143,5,0
1144,2,0
1145,1,0
1146,0,1
1147,1,0
1148,1,0
1149,0,1
115,1,0
1150,2,0
1151,1,0
1152,0,1
1153,0,1
1154,0,0
1155,0,0
1156,1,0
1157,0,1
1158,1,0
1159,0,2
116,0,1
1160,2,0
1161,1,0
1162,1,0
1163,0,1
1164,1,0
1165,3,0
1166,1,0
1167,0,1
1168,1,0
1169,1,1
117,0,1
1170,0,1
1171,1,0
1172,1,0
1173,1,0
1174,2,2
1175,1,0
1176,1,0
1177,1,0
1178,1,0
1179,2,1
118,1,0
1180,2,1
1181,2,0
1182,1,0
1183,1,0
1184,0,1
1185,1,0
1186,1,0
1187,0,0
1188,0,1
1189,0,0
119,0,1
1190,1,0
1191,1,0
1192,1,0
1193,0,2
1194,1,2
1195,2,0
1196,1,0
1197,0,1
1198,1,0
1199,0,1
12,1,0
120,2,0
1200,5,0
1201,0,1
1202,1,0
1203,1,0
1204,0,1
1205,0,1
1206,1,0
1207,0,1
1208,2,0
1209,5,0
121,0,1
1210,1,0
1211,2,0
1212,2,0
1213,2,0
1214,0,0
1215,0,1
1216,8,0
1217,1,0
1218,0,1
1219,1,0
122,0,1
1220,0,1
1221,0,2
1222,0,2
1223,0,1
1224,0,1
1225,1,0
1226,2,3
1227,1,0
1228,0,1
1229,1,0
123,1,0
1230,0,1
1231,0,1
1232,0,1
1233,1,0
1234,1,0
1235,0,1
1236,0,2
1237,0,1
1238,1,0
1239,1,0
124,1,0
1240,1,0
1241,0,1
1242,3,0
1243,2,0
1244,0,1
1245,5,0
1246,0,1
1247,3,0
1248,2,0
1249,5,0
125,6,1
1250,6,0
1251,0,1
1252,1,0
1253,1,1
1254,0,1
1255,0,1
1256,0,1
1257,0,1
1258,0,1
1259,2,0
126,1,1
1260,0,1
1261,0,1
1262,1,0
1263,2,0
1264,2,0
1265,1,0
1266,1,0
1267,0,1
1268,0,2
1269,1,0
127,0,1
1270,2,0
1271,0,1
1272,1,1
1273,1,0
1274,0,1
1275,1,0
1276,3,0
1277,0,1
1278,0,2
1279,0,1
128,1,0
1280,1,0
1281,0,3
1282,1,0
1283,1,1
1284,2,0
1285,1,2
1286,0,1
1287,2,0
1288,1,0
1289,1,0
129,1,0
1290,8,0
1291,0,1
1292,0,1
1293,4,0
1294,0,1
1295,4,0
1296,2,0
1297,0,1
1298,0,1
1299,1,0
13,5,0
130,1,0
1300,0,1
1301,11,0
1302,1,0
1303,2,0
1304,0,1
1305,1,0
1306,1,0
1307,0,2
1308,0,1
1309,1,0
131,0,1
1310,1,0
1311,0,1
1312,9,0
1313,1,0
1314,1,0
1315,2,0
1316,3,0
1317,0,1
1318,6,0
1319,1,0
132,0,1
1320,0,1
1321,2,0
1322,0,1
1323,1,0
1324,1,0
1325,2,0
1326,1,0
1327,1,0
1328,0,1
1329,2,0
133,1,0
1330,0,1
1331,1,0
1332,2,0
1333,1,0
1334,0,2
1335,0,1
1336,1,0
1337,1,0
1338,9,0
1339,3,0
134,2,0
1340,0,1
1341,1,0
1342,0,1
1343,2,0
1344,1,0
1345,2,0
1346,0,0
1347,0,1
1348,0,1
1349,1,0
135,0,1
1350,0,1
1351,2,0
1352,1,0
1353,2,0
1354,1,0
1355,0,1
1356,3,2
1357,7,0
1358,1,0
1359,0,1
136,0,1
1360,5,0
1361,0,1
1362,0,1
1363,1,0
1364,1,0
1365,3,1
1366,2,0
1367,1,0
1368,1,0
1369,1,0
137,1,0
1370,2,0
1371,0,2
1372,1,0
1373,1,0
1374,0,1
1375,1,0
1376,1,0
1377,2,1
1378,0,1
1379,0,0
138,2,2
1380,2,0
1381,1,0
1382,1,0
1383,5,0
1384,2,0
1385,0,1
1386,0,1
1387,1,0
1388,0,1
1389,0,1
139,1,0
1390,0,1
1391,2,1
1392,4,0
1393,0,1
1394,0,1
1395,1,0
1396,5,0
1397,0,1
1398,0,1
1399,2,0
14,36,0
140,0,1
1400,1,0
1401,3,0
